title,url,price_text,rating,image_url,platform,scraped_at,product_id,description,price_numeric,availability
"Samsung Galaxy A16 5G A Series Cell Phone, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, US Version, 2025, Blue Black",https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Charging-Expandable/dp/B0DLHNWHRF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.v8-v_dYf_IhKGWbz-_aPpyYT2-Rja9XV-BTloZj3gfDYxFatYL9ELqQ-gYCJcyz6Vt_Uk3apJgSl6Bc2HXcTwzJ9Pns25nTowagkKP77HSsGWbjTwe4iel6PaY79GEPNos0jx4EdWjV_79g2dp66UCuofLxENH3JLA1OnDjGI16PvwnfM1hFyhBKgeBzXxJjU3rtWOAmAPy3wVzq1Cb5HqRAGNkQkOHmAK5v1wGKr6s.Dx-8g0wt7dEefQnp_rSOe8m7WrWRpsd5eHBIA7YtBoI&dib_tag=se&keywords=phones&qid=1749602088&sr=8-1,$174.99$174.99,,https://m.media-amazon.com/images/I/71KGkQ+KOKL._AC_UY218_.jpg,amazon,2025-06-11T01:34:54.885555,0a25dce23248,,,in stock
Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,https://www.amazon.com/Tracfone-Motorola-5000mAh-Battery-Sapphire/dp/B0CTW8TXGH/ref=sr_1_2?dib=eyJ2IjoiMSJ9.v8-v_dYf_IhKGWbz-_aPpyYT2-Rja9XV-BTloZj3gfDYxFatYL9ELqQ-gYCJcyz6Vt_Uk3apJgSl6Bc2HXcTwzJ9Pns25nTowagkKP77HSsGWbjTwe4iel6PaY79GEPNos0jx4EdWjV_79g2dp66UCuofLxENH3JLA1OnDjGI16PvwnfM1hFyhBKgeBzXxJjU3rtWOAmAPy3wVzq1Cb5HqRAGNkQkOHmAK5v1wGKr6s.Dx-8g0wt7dEefQnp_rSOe8m7WrWRpsd5eHBIA7YtBoI&dib_tag=se&keywords=phones&qid=1749602088&sr=8-2,$39.88$39.88,,https://m.media-amazon.com/images/I/71fflP-3W4L._AC_UY218_.jpg,amazon,2025-06-11T01:35:02.211795,843dfc7912f6,,,in stock
Motorola Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Forest/dp/B0DNRK51QQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.v8-v_dYf_IhKGWbz-_aPpyYT2-Rja9XV-BTloZj3gfDYxFatYL9ELqQ-gYCJcyz6Vt_Uk3apJgSl6Bc2HXcTwzJ9Pns25nTowagkKP77HSsGWbjTwe4iel6PaY79GEPNos0jx4EdWjV_79g2dp66UCuofLxENH3JLA1OnDjGI16PvwnfM1hFyhBKgeBzXxJjU3rtWOAmAPy3wVzq1Cb5HqRAGNkQkOHmAK5v1wGKr6s.Dx-8g0wt7dEefQnp_rSOe8m7WrWRpsd5eHBIA7YtBoI&dib_tag=se&keywords=phones&qid=1749602088&sr=8-3,$199.99$199.99,,https://m.media-amazon.com/images/I/8160OiLlJEL._AC_UY218_.jpg,amazon,2025-06-11T01:35:08.754997,103edccef8d5,,,in stock
"AMSUNG Galaxy A16 5G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Water Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A166M/DS Blue Black",https://www.amazon.com/AMSUNG-Resistant-Factory-Unlocked-International/dp/B0DT1KMCXP/ref=sr_1_4?dib=eyJ2IjoiMSJ9.v8-v_dYf_IhKGWbz-_aPpyYT2-Rja9XV-BTloZj3gfDYxFatYL9ELqQ-gYCJcyz6Vt_Uk3apJgSl6Bc2HXcTwzJ9Pns25nTowagkKP77HSsGWbjTwe4iel6PaY79GEPNos0jx4EdWjV_79g2dp66UCuofLxENH3JLA1OnDjGI16PvwnfM1hFyhBKgeBzXxJjU3rtWOAmAPy3wVzq1Cb5HqRAGNkQkOHmAK5v1wGKr6s.Dx-8g0wt7dEefQnp_rSOe8m7WrWRpsd5eHBIA7YtBoI&dib_tag=se&keywords=phones&qid=1749602088&sr=8-4,$160.99$160.99,,https://m.media-amazon.com/images/I/51u7UXKB8+L._AC_UY218_.jpg,amazon,2025-06-11T01:35:15.414514,624bbc129328,,,in stock
"AT&T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",https://www.amazon.com/AT-BL102-3-3-Handset-Answering-Unsurpassed/dp/B086QCGQ8C/ref=sr_1_5?dib=eyJ2IjoiMSJ9.v8-v_dYf_IhKGWbz-_aPpyYT2-Rja9XV-BTloZj3gfDYxFatYL9ELqQ-gYCJcyz6Vt_Uk3apJgSl6Bc2HXcTwzJ9Pns25nTowagkKP77HSsGWbjTwe4iel6PaY79GEPNos0jx4EdWjV_79g2dp66UCuofLxENH3JLA1OnDjGI16PvwnfM1hFyhBKgeBzXxJjU3rtWOAmAPy3wVzq1Cb5HqRAGNkQkOHmAK5v1wGKr6s.Dx-8g0wt7dEefQnp_rSOe8m7WrWRpsd5eHBIA7YtBoI&dib_tag=se&keywords=phones&qid=1749602088&sr=8-5,$70.54$70.54,,https://m.media-amazon.com/images/I/81xDumBYGBL._AC_UY218_.jpg,amazon,2025-06-11T01:35:21.958036,83a1aebb3a7d,,,in stock
"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",https://www.amazon.com/Panasonic-Answering-Bilingual-High-Contrast-Expandable/dp/B0BZG14KFJ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.v8-v_dYf_IhKGWbz-_aPpyYT2-Rja9XV-BTloZj3gfDYxFatYL9ELqQ-gYCJcyz6Vt_Uk3apJgSl6Bc2HXcTwzJ9Pns25nTowagkKP77HSsGWbjTwe4iel6PaY79GEPNos0jx4EdWjV_79g2dp66UCuofLxENH3JLA1OnDjGI16PvwnfM1hFyhBKgeBzXxJjU3rtWOAmAPy3wVzq1Cb5HqRAGNkQkOHmAK5v1wGKr6s.Dx-8g0wt7dEefQnp_rSOe8m7WrWRpsd5eHBIA7YtBoI&dib_tag=se&keywords=phones&qid=1749602088&sr=8-6,,,https://m.media-amazon.com/images/I/81nkYlfA5ZL._AC_UY218_.jpg,amazon,2025-06-11T01:35:29.709955,bb99f169ddd5,,,available
"Unlocked Cell Phone C24Ultra, Android 14, 12+512GB Smartphone,48+108MP Camera,Long Battery Life 6800mAh, 6.7“ HD Screen Phone,Face ID/Fingerprint Lock/GPS Black",https://www.amazon.com/lolhtvlol-Unlocked-C24Ultra-Smartphone-Fingerprint/dp/B0F5VVCVR9/ref=sr_1_7?dib=eyJ2IjoiMSJ9.v8-v_dYf_IhKGWbz-_aPpyYT2-Rja9XV-BTloZj3gfDYxFatYL9ELqQ-gYCJcyz6Vt_Uk3apJgSl6Bc2HXcTwzJ9Pns25nTowagkKP77HSsGWbjTwe4iel6PaY79GEPNos0jx4EdWjV_79g2dp66UCuofLxENH3JLA1OnDjGI16PvwnfM1hFyhBKgeBzXxJjU3rtWOAmAPy3wVzq1Cb5HqRAGNkQkOHmAK5v1wGKr6s.Dx-8g0wt7dEefQnp_rSOe8m7WrWRpsd5eHBIA7YtBoI&dib_tag=se&keywords=phones&qid=1749602088&sr=8-7,$129.99$129.99,,https://m.media-amazon.com/images/I/61tj0rqlKNL._AC_UY218_.jpg,amazon,2025-06-11T01:35:34.400700,9d4a0401fc72,,,in stock
"SAMSUNG Galaxy S25 Cell Phone, 256GB AI Smartphone, Unlocked Android, AI Camera, Fast Processor, ProScaler Display, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, Silver Shadow",https://www.amazon.com/Smartphone-Unlocked-Processor-ProScaler-Manufacturer/dp/B0DP3GH34F/ref=sr_1_8?dib=eyJ2IjoiMSJ9.v8-v_dYf_IhKGWbz-_aPpyYT2-Rja9XV-BTloZj3gfDYxFatYL9ELqQ-gYCJcyz6Vt_Uk3apJgSl6Bc2HXcTwzJ9Pns25nTowagkKP77HSsGWbjTwe4iel6PaY79GEPNos0jx4EdWjV_79g2dp66UCuofLxENH3JLA1OnDjGI16PvwnfM1hFyhBKgeBzXxJjU3rtWOAmAPy3wVzq1Cb5HqRAGNkQkOHmAK5v1wGKr6s.Dx-8g0wt7dEefQnp_rSOe8m7WrWRpsd5eHBIA7YtBoI&dib_tag=se&keywords=phones&qid=1749602088&sr=8-8,,,https://m.media-amazon.com/images/I/61AeV7RJgYL._AC_UY218_.jpg,amazon,2025-06-11T01:35:41.047455,3df1425cc300,,,in stock
"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.v8-v_dYf_IhKGWbz-_aPpyYT2-Rja9XV-BTloZj3gfDYxFatYL9ELqQ-gYCJcyz6Vt_Uk3apJgSl6Bc2HXcTwzJ9Pns25nTowagkKP77HSsGWbjTwe4iel6PaY79GEPNos0jx4EdWjV_79g2dp66UCuofLxENH3JLA1OnDjGI16PvwnfM1hFyhBKgeBzXxJjU3rtWOAmAPy3wVzq1Cb5HqRAGNkQkOHmAK5v1wGKr6s.Dx-8g0wt7dEefQnp_rSOe8m7WrWRpsd5eHBIA7YtBoI&dib_tag=se&keywords=phones&qid=1749602088&sr=8-9,$192.86$192.86,,https://m.media-amazon.com/images/I/51fYXSnSu9L._AC_UY218_.jpg,amazon,2025-06-11T01:35:46.756549,c2a1fcabdbe8,"This product is inspected, tested, and refurbished, as necessary to be fully functional according to Amazon Renewed standards.Learn about Amazon Renewed",,in stock
"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)",https://www.amazon.com/SAMSUNG-International-SM-A165F-DS-Unlocked/dp/B0DT4T8D65/ref=sr_1_10?dib=eyJ2IjoiMSJ9.v8-v_dYf_IhKGWbz-_aPpyYT2-Rja9XV-BTloZj3gfDYxFatYL9ELqQ-gYCJcyz6Vt_Uk3apJgSl6Bc2HXcTwzJ9Pns25nTowagkKP77HSsGWbjTwe4iel6PaY79GEPNos0jx4EdWjV_79g2dp66UCuofLxENH3JLA1OnDjGI16PvwnfM1hFyhBKgeBzXxJjU3rtWOAmAPy3wVzq1Cb5HqRAGNkQkOHmAK5v1wGKr6s.Dx-8g0wt7dEefQnp_rSOe8m7WrWRpsd5eHBIA7YtBoI&dib_tag=se&keywords=phones&qid=1749602088&sr=8-10,$130.42$130.42,,https://m.media-amazon.com/images/I/51Rn-9C6xQL._AC_UY218_.jpg,amazon,2025-06-11T01:35:52.447570,8cdf7fe92630,,,in stock
